latitude,longitude,altitude,geometry,@id,highway,public_transport,name,shelter,bus,bench,alt_name:lld,name:it,name:lld,departures_board,operator,old_name,route_ref,bus_routes,created_by,wheelchair,note,tactile_paving,covered,source,ref,name:de,addr:city,addr:postcode,addr:street,alt_name,shelter_type,amenity,bin,network,toilets:wheelchair,designation,local_ref,mapillary,pole,survey:date,official_name,website,description,fixme,lit,passenger_information_display,surface,building
46.2610974,11.3401555,,Point,node/303841630,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2293612,11.2982906,,Point,node/303842484,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2214594,11.2942415,,Point,node/303842918,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2198714,11.2933928,,Point,node/303842921,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2198568,11.293449,,Point,node/303842924,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1839246,11.2410476,,Point,node/303845537,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1836555,11.2405873,,Point,node/303845538,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.18156,11.237305,,Point,node/303845539,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.18109,11.2316533,,Point,node/303845540,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1775723,11.2250619,,Point,node/303845542,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1777182,11.2250021,,Point,node/303845543,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1751865,11.2219852,,Point,node/303845545,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1651925,11.2039029,,Point,node/303845750,bus_stop,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1650703,11.2034643,,Point,node/303845751,bus_stop,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1616728,11.1983697,,Point,node/303845752,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.161762,11.1980779,,Point,node/303845753,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1370172,11.1095519,,Point,node/303846254,bus_stop,platform,"Lavis / cantina ""La-Vis""",yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
