Name,Count,Percentual
x_id,1220,100
leisure,1218,99.8360655737705
type,48,3.9344262295082
name,268,21.9672131147541
wikidata,4,0.327868852459016
landuse,26,2.13114754098361
access,82,6.72131147540984
operator,8,0.655737704918033
area,6,0.491803278688525
source,12,0.983606557377049
alt_name,6,0.491803278688525
short_name,1,0.0819672131147541
start_date,1,0.0819672131147541
amenity,5,0.409836065573771
created_by,1,0.0819672131147541
old_name,2,0.163934426229508
barrier,8,0.655737704918033
tourism,10,0.819672131147541
wikipedia,1,0.0819672131147541
ele,1,0.0819672131147541
natural,5,0.409836065573771
sport,4,0.327868852459016
surface,47,3.85245901639344
leaf_type,1,0.0819672131147541
wheelchair,20,1.63934426229508
baby,2,0.163934426229508
playground,39,3.19672131147541
water,1,0.0819672131147541
description,2,0.163934426229508
playground_1,4,0.327868852459016
playground_2,2,0.163934426229508
playground_3,1,0.0819672131147541
colour,1,0.0819672131147541
denomination,1,0.0819672131147541
religion,1,0.0819672131147541
place,1,0.0819672131147541
playground_basketswing,10,0.819672131147541
playground_chain_ladder,9,0.737704918032787
playground_slide,18,1.47540983606557
playground_swing,18,1.47540983606557
name_it,1,0.0819672131147541
opening_hours,10,0.819672131147541
addr_city,8,0.655737704918033
addr_housenumber,4,0.327868852459016
addr_postcode,8,0.655737704918033
addr_street,7,0.573770491803279
playground_aerialrotator,2,0.163934426229508
playground_basketball_backboard,2,0.163934426229508
playground_exercise,1,0.0819672131147541
playground_horizontal_bar,2,0.163934426229508
playground_seesaw,5,0.409836065573771
playground_tunnel_tube,2,0.163934426229508
fireplace,4,0.327868852459016
animal_excrements,1,0.0819672131147541
description_it,1,0.0819672131147541
landcover,2,0.163934426229508
residential,1,0.0819672131147541
foot,2,0.163934426229508
playground_climbingframe,2,0.163934426229508
building,1,0.0819672131147541
covered,1,0.0819672131147541
addr_place,1,0.0819672131147541
motor_vehicle,1,0.0819672131147541
website,1,0.0819672131147541
fixme,3,0.245901639344262
picnic_table,1,0.0819672131147541
contact_website,1,0.0819672131147541
playground_multi_play,2,0.163934426229508
playground_sandpit,2,0.163934426229508
dog,1,0.0819672131147541
addr_city_it,2,0.163934426229508
addr_city_mhn,2,0.163934426229508
lit,1,0.0819672131147541
note,2,0.163934426229508
x_relations,4,0.327868852459016
min_age,1,0.0819672131147541
playground_theme,1,0.0819672131147541
playground_skate_equipment,1,0.0819672131147541
playground_teenshelter,1,0.0819672131147541
playground_water,1,0.0819672131147541
