Name,Count,Percentual
cai_scale,9,0.048653908530652
distance,2,0.0108119796734782
duration_backward,2,0.0108119796734782
duration_forward,2,0.0108119796734782
foot,4220,22.813277111039
from,2,0.0108119796734782
highway,18498,100
importance,1,0.00540598983673911
mtb,223,1.20553573359282
mtb_scale,3658,19.7751108227917
network,10,0.0540598983673911
note_project_page,2,0.0108119796734782
operator,30,0.162179695102173
osmc_symbol,14,0.0756838577143475
ref,332,1.79478862579738
route,11,0.0594658882041302
sac_scale,9719,52.5408152232674
source,774,4.18423613363607
to,2,0.0108119796734782
trail_visibility,5874,31.7547843010055
type,5,0.0270299491836955
website,8,0.0432479186939129
x_id,18498,100
ascent,1,0.00540598983673911
descent,1,0.00540598983673911
name,1822,9.84971348253865
colour,1,0.00540598983673911
duration,1,0.00540598983673911
symbol,11,0.0594658882041302
symbol_it,1,0.00540598983673911
surface,6325,34.1928857173748
bicycle,3073,16.6126067682993
created_by,31,0.167585684938912
bridge,470,2.54081522326738
layer,614,3.31927775975781
access,420,2.27051573143042
incline,1175,6.35203805816845
mtb_scale_uphill,802,4.33560384906476
width,1802,9.74159368580387
note,157,0.84874040436804
lit,152,0.821710455184344
mtb_name,47,0.254081522326738
name_de,58,0.313547410530868
old_ref,39,0.210833603632825
hiking,140,0.756838577143475
smoothness,991,5.35733592820845
tracktype,578,3.1246621256352
visibility,48,0.259487512163477
motor_vehicle,332,1.79478862579738
FIXME,25,0.135149745918478
assisted_trail,16,0.0864958373878257
description_it,34,0.18380365444913
segregated,268,1.44880527624608
horse,1343,7.26024435074062
name_it,31,0.167585684938912
rcn,8,0.0432479186939129
rcn_ref,3,0.0162179695102173
vehicle,11,0.0594658882041302
reg_ref,3,0.0162179695102173
is_in,4,0.0216239593469564
description,45,0.24326954265326
narrow,2,0.0108119796734782
sport,9,0.048653908530652
via_ferrata_scale,59,0.318953400367607
motorcar,74,0.400043247918694
motorcycle,25,0.135149745918478
piste_difficulty,75,0.405449237755433
piste_grooming,53,0.286517461347173
piste_type,76,0.410855227592172
mtb_type,89,0.481133095469781
sac_scale_ref,63,0.340577359714564
horse_scale,5,0.0270299491836955
ski,124,0.670342739755649
note_it,518,2.80030273543086
alt_name,11,0.0594658882041302
oneway,82,0.443291166612607
fixme,292,1.57854903232782
piste_oneway,7,0.0378419288571737
tunnel,153,0.827116445021083
old_name,11,0.0594658882041302
loc_name,67,0.36220131906152
path,5,0.0270299491836955
embankment,10,0.0540598983673911
snowmobile,92,0.497351064979998
obstacle,38,0.205427613796086
wikipedia,2,0.0108119796734782
agricultural,1,0.00540598983673911
emergency,20,0.108119796734782
forestry,15,0.0810898475510866
mtb_description,16,0.0864958373878257
mtb_scale_imba,106,0.573034922694345
trailblazed,14,0.0756838577143475
man_made,14,0.0756838577143475
ford,27,0.145961725591956
KS,3,0.0162179695102173
description_de,1,0.00540598983673911
via_ferrata,16,0.0864958373878257
maxspeed,1,0.00540598983673911
est_width,97,0.524381014163693
wheelchair,675,3.6490431397989
amenity,2,0.0108119796734782
historic,56,0.30273543085739
leisure,1,0.00540598983673911
mtb_incline,3,0.0162179695102173
cutting,24,0.129743756081739
bridge_structure,46,0.248675532489999
cycleway,53,0.286517461347173
class_bicycle_mtb,11,0.0594658882041302
footway,49,0.264893502000216
safety_rope,22,0.11893177640826
safety_rope_side,1,0.00540598983673911
ladder,4,0.0216239593469564
historic_1,1,0.00540598983673911
historic_2,1,0.00540598983673911
material,9,0.048653908530652
crossing,7,0.0378419288571737
class_bicycle,1,0.00540598983673911
ruins,6,0.0324359390204346
survey_date,29,0.156773705265434
note_de,2,0.0108119796734782
informal,11,0.0594658882041302
noexit,1,0.00540598983673911
sidewalk,18,0.0973078170613039
oneway_bicycle,1,0.00540598983673911
loc_ref,3,0.0162179695102173
level,2,0.0108119796734782
handrail,23,0.124337766244999
name_en,9,0.048653908530652
area,3,0.0162179695102173
abandoned_highway,14,0.0756838577143475
maxwidth,1,0.00540598983673911
designation,12,0.0648718780408693
history,3,0.0162179695102173
end_date,2,0.0108119796734782
location,2,0.0108119796734782
military,26,0.140555735755217
start_date,8,0.0432479186939129
old_highway,6,0.0324359390204346
time,2,0.0108119796734782
cycleway_both,2,0.0108119796734782
fixme_ref,1,0.00540598983673911
height,4,0.0216239593469564
hazard,3,0.0162179695102173
waterway,4,0.0216239593469564
bridge_name,1,0.00540598983673911
arcade_left,1,0.00540598983673911
covered,3,0.0162179695102173
historic_military,2,0.0108119796734782
old_military,1,0.00540598983673911
shelter_type,1,0.00540598983673911
crossing_ref,2,0.0108119796734782
date_from,1,0.00540598983673911
barrier,12,0.0648718780408693
destination_forward,1,0.00540598983673911
tactile_paving,1,0.00540598983673911
barrier_left,12,0.0648718780408693
barrier_right,5,0.0270299491836955
fence_type_right,2,0.0108119796734782
fence_type_left,4,0.0216239593469564
disabled,4,0.0216239593469564
tourism,2,0.0108119796734782
disused_military,11,0.0594658882041302
wikidata,1,0.00540598983673911
sac_scale_note,2,0.0108119796734782
toll,1,0.00540598983673911
mapillary,2,0.0108119796734782
bridge_material,5,0.0270299491836955
boat,3,0.0162179695102173
intermittent,3,0.0162179695102173
bike,1,0.00540598983673911
name_1,1,0.00540598983673911
historic_highway,9,0.048653908530652
ref_pat,2,0.0108119796734782
survey,6,0.0324359390204346
maxheight,2,0.0108119796734782
snowshoe,2,0.0108119796734782
maintenance,3,0.0162179695102173
lanes,1,0.00540598983673911
flood_prone,2,0.0108119796734782
est_height,1,0.00540598983673911
mtb_description_de,1,0.00540598983673911
